Label,Sample,Side,Scan,Ra,Rms,unk1,unk2,unk3,Power (C1),Scan Speed (C1),Power (C2),Scan Speed (C2),Power (Fill),Scan Speed (Fill),Layer Thickness,Build Orientation,Scan Strategy,Spot Size,Stress Mean,Stress ratio,Fatigue life
,,,,(um),(um),,,,(W),(mm/s),(W),(mm/s),(W),(mm/s),(um),(°),-,(um),MPa,R,(cycles)
P8,B,1,2,18.77,23.95,0.0046,0.4649,68.66,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,B,1,3,20.06,25.61,0.0043,0.4589,70.53,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,B,2,1,12.43,17,0.0053,0.5172,56.5,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,B,2,2,15.32,21.65,0.0046,0.4646,71.87,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,B,2,3,16.8,23.85,0.0043,0.4531,71.63,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,B,3,1,16.17,22.59,0.0046,0.4635,73.26,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,B,4,1,-,-,-,-,-,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
P8,C,1,1,19.99,25.89,0.0044,0.4458,71.69,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,1,2,22.21,28.15,0.0042,0.4458,70.55,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,1,3,18.811,25.225,0.004408,0.44816,78.698,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,2,1,16.026,21.987,0.0047436,0.48036,60.223,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,2,2,15.531,21.933,0.0047078,0.47304,75.781,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,2,3,17.458,23.978,0.0044188,0.46479,47.007,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,3,1,18.582,26.92,0.004171,0.43749,95.732,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P8,C,4,1,-,-,-,-,-,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,97807
P9,A,1,1,21.33,28.06,0.0044,0.4275,69.74,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,1,2,17.85,22.9,0.0047,0.4644,56.94,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,1,3,21.43,27.05,0.0043,0.4521,58.67,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,2,1,16.71,21.74,0.0051,0.4735,52.43,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,2,2,12.89,16.9,0.0056,0.4911,45.52,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,2,3,16.26,21.45,0.0047,0.4942,51.92,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,3,1,22.22,29.19,0.0041,0.4447,69.43,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,A,4,1,14.64,20.57,0.0047,0.5138,65.32,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,53160
P9,B,1,1,16.12,20.61,0.0048,0.5002,51.7,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,1,2,20.09,26.22,0.0045,0.4477,60.8,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,1,3,19.1,24.34,0.0045,0.4747,59.51,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,2,1,12.85,17.04,0.0053,0.5463,42.85,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,2,2,12.53,16.86,0.0051,0.5222,48.59,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,2,3,11.45,15.3,0.0052,0.5665,42.66,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,3,1,18.95,25.66,0.0042,0.4547,65.82,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,B,4,1,13.54,19.66,0.0047,0.502,69.44,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,78743
P9,C,1,1,20.36,25.84,0.0044,0.4603,62.25,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P9,C,1,2,21.05,26.68,0.0044,0.452,64.18,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
P9,C,1,3,21.544,27.249,0.0044444,0.43757,66.318,115,625,115,625,220,620,30,90,C1-C2-Fill,50,330,0.1,69480
